"","V1"
"alcohol 17:base 3:sulfonyl-fluoride3",0
"alcohol 17:base 3:sulfonyl-fluoride4",0
"alcohol 18:base 1:sulfonyl-fluoride1",0
"alcohol 18:base 1:sulfonyl-fluoride2",0
"alcohol 18:base 1:sulfonyl-fluoride3",0
"alcohol 18:base 1:sulfonyl-fluoride4",0
"alcohol 18:base 2:sulfonyl-fluoride1",0
"alcohol 18:base 2:sulfonyl-fluoride2",0
"alcohol 18:base 2:sulfonyl-fluoride3",0
"alcohol 18:base 2:sulfonyl-fluoride4",0
"alcohol 18:base 3:sulfonyl-fluoride1",0
"alcohol 18:base 3:sulfonyl-fluoride2",0
"alcohol 18:base 3:sulfonyl-fluoride3",0
"alcohol 18:base 3:sulfonyl-fluoride4",0
"alcohol 19:base 1:sulfonyl-fluoride1",0
"alcohol 19:base 1:sulfonyl-fluoride2",0
"alcohol 19:base 1:sulfonyl-fluoride3",0
"alcohol 19:base 1:sulfonyl-fluoride4",0
"alcohol 19:base 2:sulfonyl-fluoride1",0
"alcohol 19:base 2:sulfonyl-fluoride2",0
"alcohol 19:base 2:sulfonyl-fluoride3",0
"alcohol 19:base 2:sulfonyl-fluoride4",0
"alcohol 19:base 3:sulfonyl-fluoride1",0
"alcohol 19:base 3:sulfonyl-fluoride2",0
"alcohol 19:base 3:sulfonyl-fluoride3",0
"alcohol 19:base 3:sulfonyl-fluoride4",0
"alcohol 20:base 1:sulfonyl-fluoride1",0
"alcohol 20:base 1:sulfonyl-fluoride2",0
"alcohol 20:base 1:sulfonyl-fluoride3",0
"alcohol 20:base 1:sulfonyl-fluoride4",0
"alcohol 20:base 2:sulfonyl-fluoride1",0
"alcohol 20:base 2:sulfonyl-fluoride2",0
"alcohol 20:base 2:sulfonyl-fluoride3",0
"alcohol 20:base 2:sulfonyl-fluoride4",0
"alcohol 20:base 3:sulfonyl-fluoride1",0
"alcohol 20:base 3:sulfonyl-fluoride2",0
"alcohol 20:base 3:sulfonyl-fluoride3",0
"alcohol 20:base 3:sulfonyl-fluoride4",0
"alcohol 21:base 1:sulfonyl-fluoride1",0
"alcohol 21:base 1:sulfonyl-fluoride2",0
"alcohol 21:base 1:sulfonyl-fluoride3",0
"alcohol 21:base 1:sulfonyl-fluoride4",0
"alcohol 21:base 2:sulfonyl-fluoride1",0
